HomeTeam,AwayTeam,FTR,HomeGoals,AwayGoals,StandingDiff,HomeWins,AwayWins,AvgHomeGoals,AvgAwayGoals,AvgHomeShots,AvgAwayShots,AvgHomeShotsOnTarget,AvgAwayShotsOnTarget,AvgHomeCorners,AvgAwayCorners,AvgHomeGoalsConceded,AvgAwayGoalsConceded,AvgHomeShotsConceded,AvgAwayShotsConceded,Year,Day
35,9,0,1,2,15,40.0,40.0,2.0,1.2,15.2,15.4,9.8,8.6,6.4,5.6,1.6,0.6,14.6,13.6,2012,2
18,17,2,3,0,-3,100.0,60.0,3.0,1.2,17.2,16.0,11.8,8.2,6.0,9.8,0.6,0.4,7.6,15.6,2012,3
30,32,2,1,0,-6,80.0,60.0,2.0,1.6,19.8,11.8,12.0,6.6,7.0,4.4,0.4,1.6,11.6,13.4,2012,3
34,28,0,1,4,6,0.0,40.0,0.8,1.2,15.2,14.0,8.2,8.4,6.8,5.4,2.0,1.2,11.4,15.6,2012,3
11,3,0,1,2,-7,40.0,20.0,0.8,0.8,16.6,10.2,9.0,5.8,9.0,5.2,0.8,2.2,5.8,18.8,2012,4
21,19,2,3,0,11,40.0,100.0,1.0,2.0,15.4,12.8,8.4,8.4,7.4,5.6,1.4,0.0,12.8,11.6,2012,4
30,11,2,2,0,-2,80.0,40.0,1.6,1.0,19.4,12.0,12.2,6.4,9.0,4.8,0.2,0.8,10.8,10.4,2012,11
1,11,1,1,1,2,20.0,40.0,0.8,0.8,11.0,11.4,4.6,6.0,7.2,5.0,1.8,0.8,11.0,11.2,2012,14
2,12,2,3,1,7,20.0,0.0,1.4,0.6,15.0,11.0,9.0,6.8,4.8,4.4,1.8,1.0,10.2,18.2,2012,14
9,28,2,1,0,-8,40.0,40.0,1.6,1.6,17.6,12.4,8.6,8.2,7.6,4.4,1.4,1.4,8.8,16.6,2012,14
17,27,1,0,0,-7,40.0,60.0,1.2,1.0,19.8,6.8,10.8,3.4,10.4,4.0,0.6,2.0,6.4,15.0,2012,14
19,3,2,3,0,-13,60.0,40.0,2.6,1.0,20.6,11.0,12.4,6.6,10.4,6.8,1.0,1.8,9.4,16.8,2012,14
30,35,1,1,1,-12,80.0,0.0,1.6,0.8,18.2,7.2,11.8,4.0,8.0,2.8,0.2,2.2,12.0,17.6,2012,14
32,22,0,1,2,-7,20.0,20.0,0.8,1.6,11.0,10.4,5.4,6.0,5.6,4.2,1.4,2.4,13.8,17.6,2012,14
21,23,2,1,0,-6,40.0,20.0,1.4,1.0,14.8,9.2,7.6,4.8,6.8,5.8,1.4,1.4,11.6,15.2,2012,15
29,0,2,3,2,14,20.0,60.0,0.8,1.8,10.4,14.6,5.6,9.6,6.2,7.0,0.6,1.0,11.6,12.0,2012,15
34,18,0,0,1,13,0.0,20.0,1.0,1.0,15.6,14.6,8.4,7.0,6.8,5.2,2.4,1.2,12.0,12.6,2012,16
3,17,2,3,1,8,20.0,40.0,1.4,0.8,12.4,16.2,9.4,8.8,5.4,9.0,1.4,1.0,12.6,15.6,2012,21
11,2,1,1,1,-8,40.0,20.0,1.0,1.8,15.0,8.0,7.6,4.6,9.2,2.8,1.0,2.2,6.8,21.0,2012,21
12,21,2,5,2,-4,60.0,20.0,1.2,1.4,19.0,9.2,11.6,6.0,5.6,2.8,1.8,2.2,14.0,13.4,2012,21
22,9,1,0,0,16,40.0,60.0,1.6,1.6,12.2,15.6,7.2,9.2,4.2,5.4,1.6,0.6,14.8,13.8,2012,21
23,34,2,3,1,2,0.0,40.0,1.2,1.4,13.8,9.2,6.2,5.2,4.2,3.4,2.2,2.4,16.0,14.4,2012,21
27,32,0,1,2,2,40.0,40.0,1.8,1.2,10.8,11.8,4.8,6.0,6.6,4.2,1.4,1.6,12.0,16.8,2012,21
28,29,2,2,0,-8,40.0,20.0,1.0,0.8,14.4,6.8,8.8,3.2,4.8,2.2,0.8,1.0,11.4,14.4,2012,21
35,1,0,2,3,8,40.0,40.0,1.8,1.0,13.0,10.6,8.2,5.8,4.8,5.6,1.6,0.8,14.4,13.2,2012,21
0,19,0,1,2,3,60.0,80.0,1.4,1.8,16.6,12.6,10.0,8.4,9.8,6.2,0.4,0.6,7.6,10.0,2012,22
18,30,2,3,2,-2,100.0,60.0,3.0,2.0,15.6,15.4,11.6,9.8,6.0,7.6,0.4,1.0,9.4,13.4,2012,22
