HomeTeam,AwayTeam,HomeGoals,AwayGoals,StandingDiff,HomeWins,AwayWins,AvgHomeGoals,AvgAwayGoals,AvgHomeShots,AvgAwayShots,AvgHomeShotsOnTarget,AvgAwayShotsOnTarget,AvgHomeCorners,AvgAwayCorners,AvgHomeGoalsConceded,AvgAwayGoalsConceded,AvgHomeShotsConceded,AvgAwayShotsConceded,Year,Day,FTR
33,31,2,4,-6,60.0,20.0,2.2,1.0,19.4,9.8,5.8,3.8,6.2,3.2,2.0,2.0,8.4,19.0,2016,10,0
29,9,2,2,2,60.0,40.0,1.2,1.8,11.4,11.8,4.0,5.0,4.2,5.4,0.8,1.4,12.2,14.8,2016,11,1
28,11,0,3,6,40.0,20.0,1.4,0.6,14.8,10.2,4.2,4.6,4.8,4.2,1.2,2.2,14.2,22.4,2016,12,0
9,17,1,2,2,40.0,20.0,1.6,1.4,15.8,14.6,5.8,4.2,8.2,6.6,1.4,2.0,11.6,10.8,2016,16,0
14,0,1,4,16,20.0,20.0,0.6,1.6,13.4,11.8,3.4,5.2,4.6,4.4,1.2,1.2,16.8,13.4,2016,17,0
16,7,3,0,-17,60.0,40.0,2.2,0.4,15.4,7.6,5.2,1.6,4.4,3.8,0.8,1.0,11.8,21.8,2016,17,2
18,4,4,0,-12,80.0,20.0,2.6,1.0,15.2,10.6,4.4,2.6,7.6,4.8,1.0,1.6,9.6,13.8,2016,17,2
32,33,4,2,7,0.0,20.0,0.4,1.6,13.6,12.6,3.2,4.0,7.2,5.2,1.4,1.8,9.2,13.2,2016,17,2
10,27,4,1,6,40.0,0.0,0.8,0.6,17.2,11.2,5.0,2.0,7.4,3.6,0.6,2.4,11.4,15.0,2016,18,2
26,29,1,0,-6,60.0,40.0,2.6,1.2,18.4,11.8,6.2,4.0,6.4,5.2,1.2,2.0,7.4,15.6,2016,18,2
30,28,1,0,-14,40.0,20.0,1.4,1.6,17.2,8.0,5.0,3.4,7.2,4.6,0.8,1.2,10.8,16.6,2016,18,2
31,19,3,1,8,20.0,60.0,1.6,1.4,14.4,12.6,5.0,4.2,5.0,4.6,2.0,1.4,9.6,12.2,2016,18,2
0,9,3,0,-8,80.0,40.0,2.4,2.2,14.4,15.8,4.8,6.0,5.0,5.8,1.0,1.6,10.4,13.6,2016,24,2
4,11,1,0,5,20.0,40.0,1.0,1.2,12.8,12.4,4.2,5.4,6.8,3.6,2.0,2.2,14.0,21.0,2016,24,2
17,14,5,1,-10,60.0,40.0,2.6,1.0,22.8,14.6,8.4,4.0,6.0,6.8,0.8,1.0,9.6,10.4,2016,24,2
19,16,4,1,4,60.0,20.0,1.8,1.2,15.0,15.8,5.8,4.6,6.2,5.6,0.8,1.6,11.4,16.8,2016,24,2
27,32,1,1,-5,20.0,20.0,0.8,0.6,10.6,12.2,2.8,2.6,5.6,5.4,2.8,1.0,17.8,14.6,2016,24,1
28,10,2,3,2,40.0,20.0,1.4,0.6,14.0,10.4,4.4,2.6,5.6,5.0,1.4,1.8,14.8,15.2,2016,24,0
29,18,1,3,8,40.0,40.0,1.4,2.0,10.6,12.6,4.2,5.4,3.6,4.0,1.2,1.6,15.4,9.0,2016,24,0
33,26,0,3,1,60.0,40.0,2.0,1.6,19.4,13.8,5.2,3.8,5.6,4.8,2.2,1.6,8.8,14.4,2016,25,0
7,31,2,0,5,20.0,20.0,0.6,1.6,9.8,10.2,3.0,4.6,5.2,3.4,0.6,2.4,14.6,19.6,2016,26,2
11,10,1,1,-4,80.0,40.0,2.0,1.2,14.2,13.4,6.8,3.4,5.4,5.6,0.6,1.8,10.8,14.2,2016,30,1
14,9,0,2,8,20.0,20.0,0.6,1.4,13.0,14.4,3.6,5.6,5.0,4.6,1.4,2.0,17.2,13.8,2016,1,0
28,32,1,1,3,40.0,20.0,1.8,0.8,13.8,12.4,4.6,3.0,4.8,5.4,2.0,0.8,14.8,13.8,2016,1,1
29,17,1,2,4,20.0,40.0,1.4,1.6,10.8,15.0,4.0,4.6,3.8,6.0,1.8,1.6,17.4,9.6,2016,1,0
31,4,2,2,-3,40.0,0.0,2.0,0.6,13.8,9.4,5.0,2.4,4.6,4.2,2.0,2.2,10.2,16.6,2016,1,1
7,0,0,1,16,40.0,40.0,1.0,1.8,10.0,14.4,3.0,5.8,5.4,4.4,0.4,0.8,15.4,10.8,2016,2,0
16,26,0,0,-5,80.0,60.0,2.4,2.0,17.0,13.8,6.0,4.8,5.8,3.2,0.4,1.4,9.4,15.6,2016,2,1
19,27,1,1,-4,60.0,0.0,2.2,0.6,15.0,11.4,5.2,2.2,5.8,4.0,1.0,2.4,12.4,15.0,2016,2,1
30,18,2,0,-1,40.0,60.0,1.0,2.4,20.2,14.4,5.2,5.2,9.6,4.8,0.8,1.6,11.0,10.6,2016,2,2
0,29,3,2,-10,80.0,40.0,2.6,1.2,14.0,11.4,4.4,4.4,6.4,4.0,1.0,1.6,10.6,17.0,2016,15,2
4,14,6,1,-2,40.0,40.0,1.0,1.2,11.6,12.0,3.4,3.4,6.8,6.2,1.6,1.6,12.8,15.0,2016,15,2
9,16,3,0,9,40.0,0.0,1.8,1.0,16.0,14.4,5.8,3.8,7.2,5.4,1.2,2.4,12.0,17.0,2016,15,2
10,33,0,1,8,40.0,20.0,1.4,1.6,17.4,13.4,5.4,4.2,7.4,5.4,0.8,2.2,11.0,13.6,2016,15,0
18,11,1,1,-7,80.0,40.0,3.0,1.2,16.6,14.4,6.0,5.8,7.0,4.0,0.8,1.6,8.2,16.0,2016,15,1
27,28,2,0,-8,20.0,0.0,1.0,1.0,10.6,7.6,2.8,3.2,5.8,4.8,2.2,1.4,15.0,19.0,2016,15,2
32,30,1,1,11,20.0,40.0,1.2,2.0,12.0,17.0,3.6,5.4,5.8,8.0,1.6,1.8,11.6,13.0,2016,15,1
26,7,3,1,-12,60.0,40.0,2.2,0.4,18.2,7.0,6.2,1.8,5.6,2.8,1.0,1.4,8.2,20.4,2016,16,2
17,19,0,0,3,60.0,60.0,2.8,1.6,21.8,14.6,8.2,4.4,6.8,4.6,1.0,1.4,9.4,11.0,2016,17,1
4,30,0,0,13,60.0,40.0,2.0,1.8,13.4,17.8,4.6,6.0,5.8,8.0,1.0,1.6,11.8,12.0,2016,22,1
7,11,2,1,7,40.0,40.0,1.0,1.2,9.8,13.2,2.4,5.2,4.4,3.4,0.6,1.2,16.8,13.4,2016,22,2
14,27,0,2,9,20.0,0.0,0.6,0.8,10.4,10.0,3.6,3.0,4.2,3.6,1.6,1.8,20.0,17.6,2016,22,0
16,10,3,1,-14,60.0,40.0,1.6,1.4,15.2,13.6,4.4,3.2,5.6,5.8,0.4,1.8,9.8,14.8,2016,22,2
17,32,2,1,-6,60.0,20.0,2.4,0.8,21.0,12.6,8.0,3.8,6.4,5.0,0.6,0.8,9.6,11.4,2016,22,2
29,31,0,0,-1,0.0,40.0,1.0,1.6,8.8,9.2,2.8,4.2,3.6,3.8,2.0,1.8,18.8,16.8,2016,22,1
33,28,1,0,-10,40.0,0.0,1.4,0.8,17.2,7.0,3.0,2.4,4.2,4.0,2.0,1.6,10.2,20.4,2016,22,2
9,19,4,0,5,60.0,40.0,2.0,1.4,16.6,13.0,6.0,4.2,7.4,3.6,0.8,1.4,9.8,11.2,2016,23,2
